config,archetype,policy,day,rate_med,balance_med,earned_med
stalo,casual,whale,16,97.0,26075,25220
stalo,casual,whale,17,102.0,37442,25185
stalo,casual,whale,18,110.2,49629,26562
stalo,casual,whale,19,120.5,67436,28845
stalo,casual,whale,20,127.0,86772,31425
stalo,casual,whale,21,137.0,86945,33139
stalo,casual,whale,22,142.0,61622,35550
stalo,casual,whale,23,148.8,64325,36956
stalo,casual,whale,24,155.5,48118,38765
stalo,casual,whale,25,160.0,61405,40605
stalo,casual,whale,26,172.0,73771,41772
stalo,casual,whale,27,178.0,99808,44828
stalo,casual,whale,28,184.0,120875,46440
stalo,casual,whale,29,186.0,159401,47942
stalo,casual,whale,30,196.2,181790,48561
